State Name,TIN,Population,State Code
Uttar Pradesh,9,199812341,UP
Maharashtra,27,112374333,MH
Bihar,10,104099452,BR
West Bengal,19,91276115,WB
Madhya Pradesh,23,72626809,MP
Tamil Nadu,33,72147030,TN
Rajasthan,8,68548437,RJ
Karnataka,29,61095297,KA
Gujarat,24,60439692,GJ
Andhra Pradesh,37,49577103,AP
Odisha,21,41974219,OR
Telangana,36,35003674,TS
Kerala,32,33406061,KL
Jharkhand,20,32988134,JS
Assam,18,31205576,AS
Punjab,3,27743338,PB
Chhattisgarh,22,25545198,CG
Haryana,6,25351462,HR
Delhi,7,16787941,DL
Jammu and Kashmir,1,12267032,JK
Uttarakhand,5,10086292,UK
Himachal Pradesh,2,6864602,HP
Tripura,16,3673917,TR
Meghalaya,17,2966889,ML
Manipur,14,2570390,MN
Nagaland,13,1978502,NL
Goa,30,1458545,GA
Arunachal Pradesh,12,1383727,AR
Puducherry,34,1247953,PY
Mizoram,15,1097206,MZ
Chandigarh,4,1055450,CH
Sikkim,11,610577,SK
Dadra and Nagar Haveli and Daman and Diu,26,585764,DN
Andaman and Nicobar Islands,35,380581,AN
Ladakh,38,274000,LA
Lakshadweep,31,64473,LD
